X,Y,id,name,highway
-72.7358152,42.8401998,250134206,Town Trail,footway
-72.735901,42.8404988,250134206,Town Trail,footway
-72.7359064,42.8406797,250134206,Town Trail,footway
-72.7359171,42.8407387,250134206,Town Trail,footway
-72.7358796,42.8408292,250134206,Town Trail,footway
-72.7358474,42.8409118,250134206,Town Trail,footway
-72.7358474,42.8410101,250134206,Town Trail,footway
-72.7358259,42.8411478,250134206,Town Trail,footway
-72.7357991,42.8412422,250134206,Town Trail,footway
-72.7357723,42.8413209,250134206,Town Trail,footway
-72.7357455,42.8414231,250134206,Town Trail,footway
-72.7357455,42.8415057,250134206,Town Trail,footway
-72.7356918,42.8416355,250134206,Town Trail,footway
-72.735665,42.8417889,250134206,Town Trail,footway
-72.735665,42.8419227,250134206,Town Trail,footway
-72.7356221,42.8420407,250134206,Town Trail,footway
-72.7356113,42.8421626,250134206,Town Trail,footway
-72.7355792,42.8422609,250134206,Town Trail,footway
-72.7355362,42.842375,250134206,Town Trail,footway
-72.735488,42.8424812,250134206,Town Trail,footway
-72.7354772,42.8425795,250134206,Town Trail,footway
-72.735445,42.8426975,250134206,Town Trail,footway
-72.7354021,42.8427801,250134206,Town Trail,footway
-72.7354021,42.8428431,250134206,Town Trail,footway
-72.7354504,42.8429021,250134206,Town Trail,footway
-72.7354772,42.8429611,250134206,Town Trail,footway
-72.7354611,42.8430515,250134206,Town Trail,footway
-72.7354558,42.8430987,250134206,Town Trail,footway
-72.7354236,42.8431695,250134206,Town Trail,footway
-72.7353914,42.8432639,250134206,Town Trail,footway
-72.7353646,42.8433662,250134206,Town Trail,footway
-72.7353431,42.8434409,250134206,Town Trail,footway
-72.7353378,42.8434999,250134206,Town Trail,footway
-72.735327,42.8436258,250134206,Town Trail,footway
-72.7353163,42.8437556,250134206,Town Trail,footway
-72.7352841,42.8438657,250134206,Town Trail,footway
-72.7352573,42.8439994,250134206,Town Trail,footway
-72.7352144,42.8441371,250134206,Town Trail,footway
-72.7351339,42.844263,250134206,Town Trail,footway
-72.7350427,42.8443731,250134206,Town Trail,footway
-72.7349783,42.8445108,250134206,Town Trail,footway
-72.7349408,42.8446406,250134206,Town Trail,footway
-72.7349408,42.8447743,250134206,Town Trail,footway
-72.7349354,42.8450103,250134206,Town Trail,footway
-72.7349086,42.8451401,250134206,Town Trail,footway
-72.7348871,42.8452581,250134206,Town Trail,footway
-72.7348871,42.8453721,250134206,Town Trail,footway
-72.7349462,42.8455098,250134206,Town Trail,footway
