X,Y,name
-72.7358152,42.8401998,Town Trail
-72.735901,42.8404988,Town Trail
-72.7359064,42.8406797,Town Trail
-72.7359171,42.8407387,Town Trail
-72.7358796,42.8408292,Town Trail
-72.7358474,42.8409118,Town Trail
-72.7358474,42.8410101,Town Trail
-72.7358259,42.8411478,Town Trail
-72.7357991,42.8412422,Town Trail
-72.7357723,42.8413209,Town Trail
-72.7357455,42.8414231,Town Trail
-72.7357455,42.8415057,Town Trail
-72.7356918,42.8416355,Town Trail
-72.735665,42.8417889,Town Trail
-72.735665,42.8419227,Town Trail
-72.7356221,42.8420407,Town Trail
-72.7356113,42.8421626,Town Trail
-72.7355792,42.8422609,Town Trail
-72.7355362,42.842375,Town Trail
-72.735488,42.8424812,Town Trail
-72.7354772,42.8425795,Town Trail
-72.735445,42.8426975,Town Trail
-72.7354021,42.8427801,Town Trail
-72.7354021,42.8428431,Town Trail
-72.7354504,42.8429021,Town Trail
-72.7354772,42.8429611,Town Trail
-72.7354611,42.8430515,Town Trail
-72.7354558,42.8430987,Town Trail
-72.7354236,42.8431695,Town Trail
-72.7353914,42.8432639,Town Trail
-72.7353646,42.8433662,Town Trail
-72.7353431,42.8434409,Town Trail
-72.7353378,42.8434999,Town Trail
-72.735327,42.8436258,Town Trail
-72.7353163,42.8437556,Town Trail
-72.7352841,42.8438657,Town Trail
-72.7352573,42.8439994,Town Trail
-72.7352144,42.8441371,Town Trail
-72.7351339,42.844263,Town Trail
-72.7350427,42.8443731,Town Trail
-72.7349783,42.8445108,Town Trail
-72.7349408,42.8446406,Town Trail
-72.7349408,42.8447743,Town Trail
-72.7349354,42.8450103,Town Trail
-72.7349086,42.8451401,Town Trail
-72.7348871,42.8452581,Town Trail
-72.7348871,42.8453721,Town Trail
-72.7349462,42.8455098,Town Trail
-72.7350052,42.8455924,Town Trail
-72.7350749,42.8456593,Town Trail
-72.7351017,42.8457654,Town Trail
-72.7351285,42.8458952,Town Trail
-72.7351124,42.846025,Town Trail
-72.7350803,42.8461312,Town Trail
-72.735032,42.8462571,Town Trail
-72.7349891,42.8463633,Town Trail
-72.7349622,42.8464931,Town Trail
-72.7349462,42.8465914,Town Trail
-72.7349408,42.8466701,Town Trail
-72.7348979,42.8467684,Town Trail
-72.7348442,42.8468864,Town Trail
-72.7348281,42.8469847,Town Trail
-72.734812,42.8470712,Town Trail
-72.7348139,42.8471338,Town Trail
-72.7348067,42.8471892,Town Trail
-72.734753,42.8472993,Town Trail
-72.7347262,42.8474291,Town Trail
-72.7346833,42.8475825,Town Trail
-72.7346189,42.8477084,Town Trail
-72.7346028,42.8478185,Town Trail
-72.7346136,42.8479837,Town Trail
-72.7345921,42.8480938,Town Trail
-72.7346028,42.8482315,Town Trail
-72.7346457,42.8483377,Town Trail
